metro_fips,metro,metro_ascii,metro_full,county_name,county_fips,state_id,state_name,lat_x,lng_x,population,met,lat_y,lng_y
22220,Fayetteville,Fayetteville,"Fayetteville-Springdale-Rogers, AR",Washington,5143,AR,Arkansas,36.1084,-94.0755,605547,Fayetteville,,
44060,Spokane,Spokane,"Spokane-Spokane Valley, WA",Stevens,53065,WA,Washington,48.0811,-117.6709,604962,Spokane,,
45780,"Toledo, OH","Toledo, OH","Toledo, OH",Wood,39173,OH,Ohio,41.4982,-83.7825,601396,"Toledo, OH",,
16860,"Chattanooga, TN","Chattanooga, TN","Chattanooga, TN-GA",Hamilton,47065,TN,Tennessee,35.052,-85.3601,588763,"Chattanooga, TN",,
35300,"New Haven, CT","New Haven, CT","New Haven, CT",South Central Connecticut,9170,CT,Connecticut,41.3613,-72.8445,576718,"New Haven, CT",,
39900,"Reno, NV","Reno, NV","Reno, NV",Washoe,32031,NV,Nevada,40.2587,-119.5532,575266,"Reno, NV",,
42540,Scranton,Scranton,"Scranton--Wilkes-Barre, PA",Luzerne,42079,PA,Pennsylvania,41.3232,-75.8957,574009,Scranton,,
38860,Portland,Portland,"Portland-South Portland, ME",York,23031,ME,Maine,43.6961,-70.4692,571534,Portland,,
29540,"Lancaster, PA","Lancaster, PA","Lancaster, PA",Lancaster,42071,PA,Pennsylvania,40.0424,-76.2477,563293,"Lancaster, PA",,
33700,"Modesto, CA","Modesto, CA","Modesto, CA",Stanislaus,6099,CA,California,37.5591,-120.9977,556972,"Modesto, CA",,
38940,"Port St. Lucie, FL","Port St. Lucie, FL","Port St. Lucie, FL",Martin,12085,FL,Florida,27.2199,-80.4508,556336,"Port St. Lucie, FL",,
26620,"Huntsville, AL","Huntsville, AL","Huntsville, AL",Madison,1089,AL,Alabama,34.7832,-86.7347,542297,"Huntsville, AL",,
37860,Pensacola,Pensacola,"Pensacola-Ferry Pass-Brent, FL",Santa Rosa,12113,FL,Florida,30.688,-87.1562,538928,Pensacola-Ferry Pass-Brent,30.688,-87.1562
30460,Lexington,Lexington,"Lexington-Fayette, KY",Bourbon,21017,KY,Kentucky,38.0905,-84.4331,533366,Lexington,,
28660,Killeen,Killeen,"Killeen-Temple, TX",Bell,48027,TX,Texas,31.2078,-97.7876,509487,Killeen,,
44180,"Springfield, MO","Springfield, MO","Springfield, MO",Greene,29077,MO,Missouri,37.3617,-93.1771,500004,"Springfield, MO",,
42220,Santa Rosa,Santa Rosa,"Santa Rosa-Petaluma, CA",Sonoma,6097,CA,California,38.529,-122.8882,485375,Santa Rosa,,
